id,name,semantic_name,description,alt_text,category_slug,category,source_slide,slide_order,primary_use_group,use_groups,tags,png_512
energy-oil-gas-020,Storage Dome,storage-dome,"Industrial storage dome or tank cap, representing storage infrastructure or terminal equipment.",Industrial storage dome or tank cap.,energy-oil-gas,"Energy, Oil & Gas",1,20,design-creative-assets,design-creative-assets;industrial-equipment;oil-gas-energy,cap;design-creative-assets;dome;energy-oil-gas;equipment;industrial;industrial-equipment;infrastructure;oil-gas-energy;or;representing;storage;storage-dome;tank;terminal,png/512/energy-oil-gas/energy-oil-gas-020.png
energy-oil-gas-021,Fire Extinguisher,fire-extinguisher,"Fire extinguisher, representing fire safety, emergency readiness, or HSE equipment.",Fire extinguisher.,energy-oil-gas,"Energy, Oil & Gas",1,21,design-creative-assets,design-creative-assets;industrial-equipment;oil-gas-energy;safety-hse,design-creative-assets;emergency;energy-oil-gas;equipment;extinguisher;fire;fire-extinguisher;hse;industrial-equipment;oil-gas-energy;or;readiness;representing;safety;safety-hse,png/512/energy-oil-gas/energy-oil-gas-021.png
energy-oil-gas-022,Fuel Station Pump,fuel-station-pump,"Fuel station pump, representing fuel distribution, refueling, or downstream energy.",Fuel station pump.,energy-oil-gas,"Energy, Oil & Gas",1,22,industrial-equipment,industrial-equipment;oil-gas-energy,distribution;downstream;energy;energy-oil-gas;fuel;fuel-station-pump;industrial-equipment;oil-gas-energy;or;pump;refueling;representing;station,png/512/energy-oil-gas/energy-oil-gas-022.png
energy-oil-gas-023,Pressure Gauge,pressure-gauge,"Pressure gauge, representing pressure monitoring, instrumentation, or operational control.",Pressure gauge.,energy-oil-gas,"Energy, Oil & Gas",1,23,digital-it-security,digital-it-security;industrial-equipment;oil-gas-energy,control;digital-it-security;energy-oil-gas;gauge;industrial-equipment;instrumentation;monitoring;oil-gas-energy;operational;or;pressure;pressure-gauge;representing,png/512/energy-oil-gas/energy-oil-gas-023.png
energy-oil-gas-024,Pipeline Valve,pipeline-valve,"Pipe valve assembly, representing pipelines, flow control, or utility systems.",Pipe valve assembly.,energy-oil-gas,"Energy, Oil & Gas",1,24,digital-it-security,digital-it-security;industrial-equipment;oil-gas-energy,assembly;control;digital-it-security;energy-oil-gas;flow;industrial-equipment;oil-gas-energy;or;pipe;pipeline-valve;pipelines;representing;systems;utility;valve,png/512/energy-oil-gas/energy-oil-gas-024.png
energy-oil-gas-025,Growth Chart,growth-chart,"Upward chart, representing growth, production increase, progress, or performance improvement.",Upward chart.,energy-oil-gas,"Energy, Oil & Gas",1,25,analytics-reporting,analytics-reporting;design-creative-assets;documents-files-records;innovation-growth;oil-gas-energy,analytics-reporting;chart;design-creative-assets;documents-files-records;energy-oil-gas;growth;growth-chart;improvement;increase;innovation-growth;oil-gas-energy;or;performance;production;progress;representing;upward,png/512/energy-oil-gas/energy-oil-gas-025.png
energy-oil-gas-026,Molecule Network,molecule-network,"Molecular network, representing chemistry, hydrocarbons, molecules, or process science.",Molecular network.,energy-oil-gas,"Energy, Oil & Gas",1,26,learning-education,learning-education;oil-gas-energy,chemistry;energy-oil-gas;hydrocarbons;learning-education;molecular;molecule-network;molecules;network;oil-gas-energy;or;process;representing;science,png/512/energy-oil-gas/energy-oil-gas-026.png
energy-oil-gas-027,Oil Bottle,oil-bottle,"Oil bottle or container, representing lubricants, fluids, or petroleum products.",Oil bottle or container.,energy-oil-gas,"Energy, Oil & Gas",1,27,design-creative-assets,design-creative-assets;oil-gas-energy,bottle;container;design-creative-assets;energy-oil-gas;fluids;lubricants;oil;oil-bottle;oil-gas-energy;or;petroleum;products;representing,png/512/energy-oil-gas/energy-oil-gas-027.png
energy-oil-gas-028,Laboratory Shelf,laboratory-shelf,"Lab shelf with flasks, representing laboratory testing, samples, or chemical storage.",Lab shelf with flasks.,energy-oil-gas,"Energy, Oil & Gas",1,28,digital-it-security,digital-it-security;industrial-equipment;learning-education;oil-gas-energy,chemical;digital-it-security;energy-oil-gas;flasks;industrial-equipment;lab;laboratory;laboratory-shelf;learning-education;oil-gas-energy;or;representing;samples;shelf;storage;testing;with,png/512/energy-oil-gas/energy-oil-gas-028.png
energy-oil-gas-029,Industrial Drilling Table,industrial-drilling-table,"Industrial equipment table or drill unit, representing machinery, process equipment, or drilling support.",Industrial equipment table or drill unit.,energy-oil-gas,"Energy, Oil & Gas",1,29,communication-support,communication-support;design-creative-assets;digital-it-security;drilling-rigs-wells;industrial-equipment;oil-gas-energy,communication-support;design-creative-assets;digital-it-security;drill;drilling;drilling-rigs-wells;energy-oil-gas;equipment;industrial;industrial-drilling-table;industrial-equipment;machinery;oil-gas-energy;or;process;representing;support;table;unit,png/512/energy-oil-gas/energy-oil-gas-029.png
energy-oil-gas-030,Fuel Nozzle,fuel-nozzle,"Fuel nozzle, representing fueling, dispensing, diesel supply, or petroleum handling.",Fuel nozzle.,energy-oil-gas,"Energy, Oil & Gas",1,30,design-creative-assets,design-creative-assets;industrial-equipment;oil-gas-energy,design-creative-assets;diesel;dispensing;energy-oil-gas;fuel;fuel-nozzle;fueling;handling;industrial-equipment;nozzle;oil-gas-energy;or;petroleum;representing;supply,png/512/energy-oil-gas/energy-oil-gas-030.png
energy-oil-gas-031,Power Plant Emissions,power-plant-emissions,"Power plant cooling towers, representing energy generation, emissions, or industrial utilities.",Power plant cooling towers.,energy-oil-gas,"Energy, Oil & Gas",1,31,digital-it-security,digital-it-security;industrial-equipment;oil-gas-energy;sustainability-environment,cooling;digital-it-security;emissions;energy;energy-oil-gas;generation;industrial;industrial-equipment;oil-gas-energy;or;plant;power;power-plant-emissions;representing;sustainability-environment;towers;utilities,png/512/energy-oil-gas/energy-oil-gas-031.png
energy-oil-gas-032,Offshore Platform Crane,offshore-platform-crane,"Offshore platform with crane, representing offshore drilling, marine operations, or platform support.",Offshore platform with crane.,energy-oil-gas,"Energy, Oil & Gas",1,32,communication-support,communication-support;digital-it-security;documents-files-records;drilling-rigs-wells;logistics-transport;offshore-marine;oil-gas-energy,communication-support;crane;digital-it-security;documents-files-records;drilling;drilling-rigs-wells;energy-oil-gas;logistics-transport;marine;offshore;offshore-marine;offshore-platform-crane;oil-gas-energy;operations;or;platform;representing;support;with,png/512/energy-oil-gas/energy-oil-gas-032.png
energy-oil-gas-033,Oil Barrel Finance,oil-barrel-finance,"Oil barrel with dollar symbol, representing petroleum revenue, commodity value, or energy economics.",Oil barrel with dollar symbol.,energy-oil-gas,"Energy, Oil & Gas",1,33,analytics-reporting,analytics-reporting;business-finance;digital-it-security;oil-gas-energy,analytics-reporting;barrel;business-finance;commodity;digital-it-security;dollar;economics;energy;energy-oil-gas;oil;oil-barrel-finance;oil-gas-energy;or;petroleum;representing;revenue;symbol;value;with,png/512/energy-oil-gas/energy-oil-gas-033.png
energy-oil-gas-034,Industrial Compressor Pump,industrial-compressor-pump,"Industrial compressor or pump unit, representing mechanical equipment, pumping, or production systems.",Industrial compressor or pump unit.,energy-oil-gas,"Energy, Oil & Gas",1,34,design-creative-assets,design-creative-assets;digital-it-security;industrial-equipment;oil-gas-energy,compressor;design-creative-assets;digital-it-security;energy-oil-gas;equipment;industrial;industrial-compressor-pump;industrial-equipment;mechanical;oil-gas-energy;or;production;pump;pumping;representing;systems;unit,png/512/energy-oil-gas/energy-oil-gas-034.png
energy-oil-gas-035,Offshore Rig Platform,offshore-rig-platform,"Offshore rig platform, representing offshore drilling operations or jack-up rig activity.",Offshore rig platform.,energy-oil-gas,"Energy, Oil & Gas",1,35,digital-it-security,digital-it-security;documents-files-records;drilling-rigs-wells;offshore-marine;oil-gas-energy,activity;digital-it-security;documents-files-records;drilling;drilling-rigs-wells;energy-oil-gas;jack;offshore;offshore-marine;offshore-rig-platform;oil-gas-energy;operations;or;platform;representing;rig;up,png/512/energy-oil-gas/energy-oil-gas-035.png
energy-oil-gas-036,Gas Cylinder,gas-cylinder,"Gas cylinder or fuel canister, representing compressed gas, field utilities, or safety gas supply.",Gas cylinder or fuel canister.,energy-oil-gas,"Energy, Oil & Gas",1,36,digital-it-security,digital-it-security;industrial-equipment;oil-gas-energy;safety-hse,canister;compressed;cylinder;digital-it-security;energy-oil-gas;field;fuel;gas;gas-cylinder;industrial-equipment;oil-gas-energy;or;representing;safety;safety-hse;supply;utilities,png/512/energy-oil-gas/energy-oil-gas-036.png
energy-oil-gas-037,Pipeline Hose Loop,pipeline-hose-loop,"Pipeline or hose loop, representing flow lines, connections, or fluid transfer systems.",Pipeline or hose loop.,energy-oil-gas,"Energy, Oil & Gas",1,37,design-creative-assets,design-creative-assets;digital-it-security;industrial-equipment;oil-gas-energy,connections;design-creative-assets;digital-it-security;energy-oil-gas;flow;fluid;hose;industrial-equipment;lines;loop;oil-gas-energy;or;pipeline;pipeline-hose-loop;representing;systems;transfer,png/512/energy-oil-gas/energy-oil-gas-037.png
energy-oil-gas-038,Hazardous Chemical Plant,hazardous-chemical-plant,"Industrial plant with hazard symbol, representing hazardous materials, chemical processing, or risk control.",Industrial plant with hazard symbol.,energy-oil-gas,"Energy, Oil & Gas",1,38,digital-it-security,digital-it-security;industrial-equipment;oil-gas-energy;safety-hse;sustainability-environment,chemical;control;digital-it-security;energy-oil-gas;hazard;hazardous;hazardous-chemical-plant;industrial;industrial-equipment;materials;oil-gas-energy;or;plant;processing;representing;risk;safety-hse;sustainability-environment;symbol;with,png/512/energy-oil-gas/energy-oil-gas-038.png
energy-oil-gas-039,Fuel Tanker Truck,fuel-tanker-truck,"Fuel tanker truck, representing fuel logistics, transport, or site delivery.",Fuel tanker truck.,energy-oil-gas,"Energy, Oil & Gas",1,39,digital-it-security,digital-it-security;industrial-equipment;logistics-transport;oil-gas-energy,delivery;digital-it-security;energy-oil-gas;fuel;fuel-tanker-truck;industrial-equipment;logistics;logistics-transport;oil-gas-energy;or;representing;site;tanker;transport;truck,png/512/energy-oil-gas/energy-oil-gas-039.png
energy-oil-gas-040,Pipe Gate Valve,pipe-gate-valve,"Pipeline gate valve, representing pipeline isolation, flow control, or maintenance.",Pipeline gate valve.,energy-oil-gas,"Energy, Oil & Gas",1,40,industrial-equipment,industrial-equipment;oil-gas-energy,control;energy-oil-gas;flow;gate;industrial-equipment;isolation;maintenance;oil-gas-energy;or;pipe-gate-valve;pipeline;representing;valve,png/512/energy-oil-gas/energy-oil-gas-040.png
energy-oil-gas-041,Marine Vessel,marine-vessel,"Ship or tanker vessel, representing marine logistics, offshore transport, or shipping.",Ship or tanker vessel.,energy-oil-gas,"Energy, Oil & Gas",1,41,industrial-equipment,industrial-equipment;logistics-transport;offshore-marine;oil-gas-energy,energy-oil-gas;industrial-equipment;logistics;logistics-transport;marine;marine-vessel;offshore;offshore-marine;oil-gas-energy;or;representing;ship;shipping;tanker;transport;vessel,png/512/energy-oil-gas/energy-oil-gas-041.png
energy-oil-gas-042,Refinery Tank Flame,refinery-tank-flame,"Refinery tank with flame, representing petroleum processing, gas handling, or industrial fuel systems.",Refinery tank with flame.,energy-oil-gas,"Energy, Oil & Gas",1,42,digital-it-security,digital-it-security;industrial-equipment;oil-gas-energy,digital-it-security;energy-oil-gas;flame;fuel;gas;handling;industrial;industrial-equipment;oil-gas-energy;or;petroleum;processing;refinery;refinery-tank-flame;representing;systems;tank;with,png/512/energy-oil-gas/energy-oil-gas-042.png
energy-oil-gas-043,Processing Equipment,processing-equipment,"Processing machine or pump skid, representing industrial equipment, refining, or production assets.",Processing machine or pump skid.,energy-oil-gas,"Energy, Oil & Gas",1,43,design-creative-assets,design-creative-assets;industrial-equipment;oil-gas-energy,assets;design-creative-assets;energy-oil-gas;equipment;industrial;industrial-equipment;machine;oil-gas-energy;or;processing;processing-equipment;production;pump;refining;representing;skid,png/512/energy-oil-gas/energy-oil-gas-043.png
energy-oil-gas-044,Industrial Valve,industrial-valve,"Large industrial valve, representing pressure control, pipeline operations, or flow isolation.",Large industrial valve.,energy-oil-gas,"Energy, Oil & Gas",1,44,industrial-equipment,industrial-equipment;oil-gas-energy,control;energy-oil-gas;flow;industrial;industrial-equipment;industrial-valve;isolation;large;oil-gas-energy;operations;or;pipeline;pressure;representing;valve,png/512/energy-oil-gas/energy-oil-gas-044.png
energy-oil-gas-045,Oil Document Certificate,oil-document-certificate,"Document with oil symbol, representing petroleum report, certificate, permit, or compliance record.",Document with oil symbol.,energy-oil-gas,"Energy, Oil & Gas",1,45,analytics-reporting,analytics-reporting;digital-it-security;documents-files-records;learning-education;legal-compliance-governance;oil-gas-energy;rewards-recognition,analytics-reporting;certificate;compliance;digital-it-security;document;documents-files-records;energy-oil-gas;learning-education;legal-compliance-governance;oil;oil-document-certificate;oil-gas-energy;or;permit;petroleum;record;report;representing;rewards-recognition;symbol;with,png/512/energy-oil-gas/energy-oil-gas-045.png
energy-oil-gas-046,Barrel Flame,barrel-flame,"Oil barrel with flame, representing fuel, flammable materials, or energy products.",Oil barrel with flame.,energy-oil-gas,"Energy, Oil & Gas",1,46,analytics-reporting,analytics-reporting;digital-it-security;oil-gas-energy,analytics-reporting;barrel;barrel-flame;digital-it-security;energy;energy-oil-gas;flame;flammable;fuel;materials;oil;oil-gas-energy;or;products;representing;with,png/512/energy-oil-gas/energy-oil-gas-046.png
energy-oil-gas-047,Pumpjack Production,pumpjack-production,"Pumpjack, representing oil production, land well operations, or extraction.",Pumpjack.,energy-oil-gas,"Energy, Oil & Gas",1,47,drilling-rigs-wells,drilling-rigs-wells;industrial-equipment;oil-gas-energy,drilling-rigs-wells;energy-oil-gas;extraction;industrial-equipment;land;oil;oil-gas-energy;operations;or;production;pumpjack;pumpjack-production;representing;well,png/512/energy-oil-gas/energy-oil-gas-047.png
energy-oil-gas-048,Drilling Derrick,drilling-derrick,"Drilling derrick or rig tower, representing drilling operations, rig work, or well construction.",Drilling derrick or rig tower.,energy-oil-gas,"Energy, Oil & Gas",1,48,drilling-rigs-wells,drilling-rigs-wells;oil-gas-energy,construction;derrick;drilling;drilling-derrick;drilling-rigs-wells;energy-oil-gas;oil-gas-energy;operations;or;representing;rig;tower;well;work,png/512/energy-oil-gas/energy-oil-gas-048.png
energy-oil-gas-049,Production Analytics Chart,production-analytics-chart,"Bar chart with line, representing production analytics, operational performance, or reporting.",Bar chart with line.,energy-oil-gas,"Energy, Oil & Gas",1,49,analytics-reporting,analytics-reporting;design-creative-assets;digital-it-security;documents-files-records;oil-gas-energy,analytics;analytics-reporting;bar;chart;design-creative-assets;digital-it-security;documents-files-records;energy-oil-gas;line;oil-gas-energy;operational;or;performance;production;production-analytics-chart;reporting;representing;with,png/512/energy-oil-gas/energy-oil-gas-049.png
energy-oil-gas-050,Storage Tank,storage-tank,"Horizontal storage tank, representing bulk storage, petroleum tanks, or terminal assets.",Horizontal storage tank.,energy-oil-gas,"Energy, Oil & Gas",1,50,design-creative-assets,design-creative-assets;industrial-equipment;oil-gas-energy,assets;bulk;design-creative-assets;energy-oil-gas;horizontal;industrial-equipment;oil-gas-energy;or;petroleum;representing;storage;storage-tank;tank;tanks;terminal,png/512/energy-oil-gas/energy-oil-gas-050.png
business-finance-analytics-001,Business Target,business-target,"Target with center mark, representing goals, precision, objectives, or performance focus.",Target with center mark.,business-finance-analytics,"Business, Finance & Analytics",2,1,analytics-reporting,analytics-reporting;business-finance;digital-it-security;documents-files-records;logistics-transport,analytics-reporting;business-finance;business-finance-analytics;business-target;center;digital-it-security;documents-files-records;focus;goals;logistics-transport;mark;objectives;or;performance;precision;representing;target;with,png/512/business-finance-analytics/business-finance-analytics-001.png
business-finance-analytics-002,Idea Lightbulb,idea-lightbulb,"Light bulb, representing business ideas, innovation, or problem solving.",Light bulb.,business-finance-analytics,"Business, Finance & Analytics",2,2,analytics-reporting,analytics-reporting;business-finance;innovation-growth;logistics-transport,analytics-reporting;bulb;business;business-finance;business-finance-analytics;idea-lightbulb;ideas;innovation;innovation-growth;light;logistics-transport;or;problem;representing;solving,png/512/business-finance-analytics/business-finance-analytics-002.png
business-finance-analytics-003,Attached Document,attached-document,"Document with paperclip, representing attached files, records, or supporting documentation.",Document with paperclip.,business-finance-analytics,"Business, Finance & Analytics",2,3,analytics-reporting,analytics-reporting;business-finance;communication-support;digital-it-security;documents-files-records;logistics-transport,analytics-reporting;attached;attached-document;business-finance;business-finance-analytics;communication-support;digital-it-security;document;documentation;documents-files-records;files;logistics-transport;or;paperclip;records;representing;supporting;with,png/512/business-finance-analytics/business-finance-analytics-003.png
business-finance-analytics-004,Bar Chart Axis,bar-chart-axis,"Bar chart on an axis, representing analytics, metrics, or reporting.",Bar chart on an axis.,business-finance-analytics,"Business, Finance & Analytics",2,4,analytics-reporting,analytics-reporting;business-finance;design-creative-assets;documents-files-records;logistics-transport,an;analytics;analytics-reporting;axis;bar;bar-chart-axis;business-finance;business-finance-analytics;chart;design-creative-assets;documents-files-records;logistics-transport;metrics;on;or;reporting;representing,png/512/business-finance-analytics/business-finance-analytics-004.png
business-finance-analytics-005,Search Analytics,search-analytics,"Magnifying glass over chart, representing analysis, investigation, or business insight.",Magnifying glass over chart.,business-finance-analytics,"Business, Finance & Analytics",2,5,analytics-reporting,analytics-reporting;business-finance;design-creative-assets;logistics-transport,analysis;analytics-reporting;business;business-finance;business-finance-analytics;chart;design-creative-assets;glass;insight;investigation;logistics-transport;magnifying;or;over;representing;search-analytics,png/512/business-finance-analytics/business-finance-analytics-005.png
business-finance-analytics-006,Hourglass Time,hourglass-time,"Hourglass, representing timing, deadlines, waiting, or process duration.",Hourglass.,business-finance-analytics,"Business, Finance & Analytics",2,6,analytics-reporting,analytics-reporting;business-finance;digital-it-security;logistics-transport;time-scheduling,analytics-reporting;business-finance;business-finance-analytics;deadlines;digital-it-security;duration;hourglass;hourglass-time;logistics-transport;or;process;representing;time-scheduling;timing;waiting,png/512/business-finance-analytics/business-finance-analytics-006.png
business-finance-analytics-007,Finance Target,finance-target,"Dollar target, representing financial goals, budget control, or revenue targets.",Dollar target.,business-finance-analytics,"Business, Finance & Analytics",2,7,analytics-reporting,analytics-reporting;business-finance;logistics-transport,analytics-reporting;budget;business-finance;business-finance-analytics;control;dollar;finance-target;financial;goals;logistics-transport;or;representing;revenue;target;targets,png/512/business-finance-analytics/business-finance-analytics-007.png
